LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,mortality,kill_rate,block_initial,simday,mass_llins_fund
Aba North,Ngor-Okpala,2020,Aba North,0.8,0.8,0.8,0.8,1,june,0.319067389,0.728614023,0.65,162,PBO (2021)
Aba North,Ngor-Okpala,2023,Aba North,0.8,0.8,0.8,0.8,2,june,0.319067389,0.728614023,0.65,1257,PBO (2021)
Aba North,Ngor-Okpala,2026,Aba North,0.8,0.8,0.8,0.8,3,june,0.319067389,0.728614023,0.65,2352,PBO (2021)
Aba North,Ngor-Okpala,2029,Aba North,0.8,0.8,0.8,0.8,4,june,0.319067389,0.728614023,0.65,3447,PBO (2021)
Aba South,Ngor-Okpala,2020,Aba South,0.8,0.8,0.8,0.8,1,june,0.311454386,0.726957127,0.65,162,PBO (2021)
Aba South,Ngor-Okpala,2023,Aba South,0.8,0.8,0.8,0.8,2,june,0.311454386,0.726957127,0.65,1257,PBO (2021)
Aba South,Ngor-Okpala,2026,Aba South,0.8,0.8,0.8,0.8,3,june,0.311454386,0.726957127,0.65,2352,PBO (2021)
Aba South,Ngor-Okpala,2029,Aba South,0.8,0.8,0.8,0.8,4,june,0.311454386,0.726957127,0.65,3447,PBO (2021)
Abadam,Babura,2020,Abadam,0.8,0.8,0.8,0.8,1,may,0.658846787,0.750452874,0.843591449,131,PBO (2021)
Abadam,Babura,2023,Abadam,0.8,0.8,0.8,0.8,2,may,0.658846787,0.750452874,0.843591449,1226,PBO (2021)
Abadam,Babura,2026,Abadam,0.8,0.8,0.8,0.8,3,may,0.658846787,0.750452874,0.843591449,2321,PBO (2021)
Abadam,Babura,2029,Abadam,0.8,0.8,0.8,0.8,4,may,0.658846787,0.750452874,0.843591449,3416,PBO (2021)
Abaji,Keana,2020,Abaji,0.8,0.8,0.8,0.8,1,august,0.476373849,0.74548121,0.65,223,PBO (2021)
Abaji,Keana,2023,Abaji,0.8,0.8,0.8,0.8,2,august,0.476373849,0.74548121,0.65,1318,PBO (2021)
Abaji,Keana,2026,Abaji,0.8,0.8,0.8,0.8,3,august,0.476373849,0.74548121,0.65,2413,PBO (2021)
Abaji,Keana,2029,Abaji,0.8,0.8,0.8,0.8,4,august,0.476373849,0.74548121,0.65,3508,PBO (2021)
Abak,Nsit Ubium,2021,Abak,0.8,0.8,0.8,0.8,1,june,0.358412263,0.425644469,0.53,527,Pyrethroid (2020)
Abak,Nsit Ubium,2024,Abak,0.8,0.8,0.8,0.8,2,june,0.358412263,0.425644469,0.53,1622,Pyrethroid (2020)
Abak,Nsit Ubium,2027,Abak,0.8,0.8,0.8,0.8,3,june,0.358412263,0.425644469,0.53,2717,Pyrethroid (2020)
Abak,Nsit Ubium,2030,Abak,0.8,0.8,0.8,0.8,4,june,0.358412263,0.425644469,0.53,3812,Pyrethroid (2020)
Abakaliki,Owan East,2020,Abakaliki,0.8,0.8,0.8,0.8,1,march,0.416945424,0.473491294,0.53,70,Pyrethroid (2020)
Abakaliki,Owan East,2023,Abakaliki,0.8,0.8,0.8,0.8,2,march,0.416945424,0.473491294,0.53,1165,Pyrethroid (2020)
Abakaliki,Owan East,2026,Abakaliki,0.8,0.8,0.8,0.8,3,march,0.416945424,0.473491294,0.53,2260,Pyrethroid (2020)
Abakaliki,Owan East,2029,Abakaliki,0.8,0.8,0.8,0.8,4,march,0.416945424,0.473491294,0.53,3355,Pyrethroid (2020)
Abeokuta North,Owan East,2021,Abeokuta North,0.8,0.8,0.8,0.8,1,march,0.429058332,0.742619287,0.65,435,PBO (2021)
Abeokuta North,Owan East,2024,Abeokuta North,0.8,0.8,0.8,0.8,2,march,0.429058332,0.742619287,0.65,1530,PBO (2021)
Abeokuta North,Owan East,2027,Abeokuta North,0.8,0.8,0.8,0.8,3,march,0.429058332,0.742619287,0.65,2625,PBO (2021)
Abeokuta North,Owan East,2030,Abeokuta North,0.8,0.8,0.8,0.8,4,march,0.429058332,0.742619287,0.65,3720,PBO (2021)
Abeokuta South,Uzo-Uwani,2021,Abeokuta South,0.8,0.8,0.8,0.8,1,june,0.443245868,0.74359875,0.65,527,PBO (2021)
Abeokuta South,Uzo-Uwani,2024,Abeokuta South,0.8,0.8,0.8,0.8,2,june,0.443245868,0.74359875,0.65,1622,PBO (2021)
Abeokuta South,Uzo-Uwani,2027,Abeokuta South,0.8,0.8,0.8,0.8,3,june,0.443245868,0.74359875,0.65,2717,PBO (2021)
Abeokuta South,Uzo-Uwani,2030,Abeokuta South,0.8,0.8,0.8,0.8,4,june,0.443245868,0.74359875,0.65,3812,PBO (2021)
Abi,Obubra,2021,Abi,0.8,0.8,0.8,0.8,1,june,0.400313882,0.46000802,0.53,527,Pyrethroid (2020)
Abi,Obubra,2024,Abi,0.8,0.8,0.8,0.8,2,june,0.400313882,0.46000802,0.53,1622,Pyrethroid (2020)
Abi,Obubra,2027,Abi,0.8,0.8,0.8,0.8,3,june,0.400313882,0.46000802,0.53,2717,Pyrethroid (2020)
Abi,Obubra,2030,Abi,0.8,0.8,0.8,0.8,4,june,0.400313882,0.46000802,0.53,3812,Pyrethroid (2020)
Aboh-Mbaise,Ngor-Okpala,2020,Aboh-Mbaise,0.8,0.8,0.8,0.8,1,june,0.366998982,0.736534052,0.65,162,PBO (2021)
Aboh-Mbaise,Ngor-Okpala,2023,Aboh-Mbaise,0.8,0.8,0.8,0.8,2,june,0.366998982,0.736534052,0.65,1257,PBO (2021)
Aboh-Mbaise,Ngor-Okpala,2026,Aboh-Mbaise,0.8,0.8,0.8,0.8,3,june,0.366998982,0.736534052,0.65,2352,PBO (2021)
Aboh-Mbaise,Ngor-Okpala,2029,Aboh-Mbaise,0.8,0.8,0.8,0.8,4,june,0.366998982,0.736534052,0.65,3447,PBO (2021)
Abua/Odual,Ahoada West,2020,Abua-Odual,0.8,0.8,0.8,0.8,1,may,0.255950957,0.709612874,0.65,131,PBO (2021)
Abua/Odual,Ahoada West,2023,Abua-Odual,0.8,0.8,0.8,0.8,2,may,0.255950957,0.709612874,0.65,1226,PBO (2021)
Abua/Odual,Ahoada West,2026,Abua-Odual,0.8,0.8,0.8,0.8,3,may,0.255950957,0.709612874,0.65,2321,PBO (2021)
Abua/Odual,Ahoada West,2029,Abua-Odual,0.8,0.8,0.8,0.8,4,may,0.255950957,0.709612874,0.65,3416,PBO (2021)
Abuja Municipal,Keana,2020,Abuja Municipal,0.8,0.8,0.8,0.8,1,august,0.500846708,0.746583537,0.64847786,223,PBO (2021)
Abuja Municipal,Keana,2023,Abuja Municipal,0.8,0.8,0.8,0.8,2,august,0.500846708,0.746583537,0.64847786,1318,PBO (2021)
Abuja Municipal,Keana,2026,Abuja Municipal,0.8,0.8,0.8,0.8,3,august,0.500846708,0.746583537,0.64847786,2413,PBO (2021)
Abuja Municipal,Keana,2029,Abuja Municipal,0.8,0.8,0.8,0.8,4,august,0.500846708,0.746583537,0.64847786,3508,PBO (2021)
Adavi,Owan East,2020,Adavi,0.830655145,0.8,0.8,0.8,1,march,0.308698703,0.726323559,0.65,70,PBO (2021)
Adavi,Owan East,2023,Adavi,0.830655145,0.8,0.8,0.8,2,march,0.308698703,0.726323559,0.65,1165,PBO (2021)
Adavi,Owan East,2026,Adavi,0.830655145,0.8,0.8,0.8,3,march,0.308698703,0.726323559,0.65,2260,PBO (2021)
Adavi,Owan East,2029,Adavi,0.830655145,0.8,0.8,0.8,4,march,0.308698703,0.726323559,0.65,3355,PBO (2021)
Ado,Akinyele,2020,Ado,0.8,0.8,0.8,0.8,1,may,0.357778894,0.425122422,0.53,131,Pyrethroid (2020)
Ado,Akinyele,2023,Ado,0.8,0.8,0.8,0.8,2,may,0.357778894,0.425122422,0.53,1226,Pyrethroid (2020)
Ado,Akinyele,2026,Ado,0.8,0.8,0.8,0.8,3,may,0.357778894,0.425122422,0.53,2321,Pyrethroid (2020)
Ado,Akinyele,2029,Ado,0.8,0.8,0.8,0.8,4,may,0.357778894,0.425122422,0.53,3416,Pyrethroid (2020)
Ado-Odo/Ota,Uzo-Uwani,2021,Ado-Odo-Ota,0.8,0.8,0.8,0.8,1,june,0.405185074,0.740672987,0.65,527,PBO (2021)
Ado-Odo/Ota,Uzo-Uwani,2024,Ado-Odo-Ota,0.8,0.8,0.8,0.8,2,june,0.405185074,0.740672987,0.65,1622,PBO (2021)
Ado-Odo/Ota,Uzo-Uwani,2027,Ado-Odo-Ota,0.8,0.8,0.8,0.8,3,june,0.405185074,0.740672987,0.65,2717,PBO (2021)
Ado-Odo/Ota,Uzo-Uwani,2030,Ado-Odo-Ota,0.8,0.8,0.8,0.8,4,june,0.405185074,0.740672987,0.65,3812,PBO (2021)
Ado Ekiti,Owan East,2020,Ado Ekiti,0.8,0.8,0.8,0.8,1,march,0.357399296,0.735235955,0.65,70,PBO (2021)
Ado Ekiti,Owan East,2023,Ado Ekiti,0.8,0.8,0.8,0.8,2,march,0.357399296,0.735235955,0.65,1165,PBO (2021)
Ado Ekiti,Owan East,2026,Ado Ekiti,0.8,0.8,0.8,0.8,3,march,0.357399296,0.735235955,0.65,2260,PBO (2021)
Ado Ekiti,Owan East,2029,Ado Ekiti,0.8,0.8,0.8,0.8,4,march,0.357399296,0.735235955,0.65,3355,PBO (2021)
Afijio,Akinyele,2020,Afijio,0.8,0.8,0.8,0.8,1,may,0.464150913,0.9,0.94,131,IG2 & PBO (2020)
Afijio,Akinyele,2023,Afijio,0.8,0.8,0.8,0.8,2,may,0.464150913,0.9,0.94,1226,IG2 & PBO (2020)
Afijio,Akinyele,2026,Afijio,0.8,0.8,0.8,0.8,3,may,0.464150913,0.9,0.94,2321,IG2 & PBO (2020)
Afijio,Akinyele,2029,Afijio,0.8,0.8,0.8,0.8,4,may,0.464150913,0.9,0.94,3416,IG2 & PBO (2020)
Afikpo North,Oru West,2020,Afikpo North,0.905685179,0.8,0.8,0.8,1,june,0.428193447,0.482537052,0.53,162,Pyrethroid (2020)
Afikpo North,Oru West,2023,Afikpo North,0.905685179,0.8,0.8,0.8,2,june,0.428193447,0.482537052,0.53,1257,Pyrethroid (2020)
Afikpo North,Oru West,2026,Afikpo North,0.905685179,0.8,0.8,0.8,3,june,0.428193447,0.482537052,0.53,2352,Pyrethroid (2020)
Afikpo North,Oru West,2029,Afikpo North,0.905685179,0.8,0.8,0.8,4,june,0.428193447,0.482537052,0.53,3447,Pyrethroid (2020)
Afikpo South,Ngor-Okpala,2020,Afikpo South,0.8,0.8,0.8,0.8,1,june,0.44733042,0.497764649,0.53,162,Pyrethroid (2020)
Afikpo South,Ngor-Okpala,2023,Afikpo South,0.8,0.8,0.8,0.8,2,june,0.44733042,0.497764649,0.53,1257,Pyrethroid (2020)
Afikpo South,Ngor-Okpala,2026,Afikpo South,0.8,0.8,0.8,0.8,3,june,0.44733042,0.497764649,0.53,2352,Pyrethroid (2020)
Afikpo South,Ngor-Okpala,2029,Afikpo South,0.8,0.8,0.8,0.8,4,june,0.44733042,0.497764649,0.53,3447,Pyrethroid (2020)
Agaie,Oke-Ero,2022,Agaie,0.8,0.8,0.8,0.8,1,july,0.469310553,0.745121348,0.65,916,PBO (2021)
Agaie,Oke-Ero,2025,Agaie,0.8,0.8,0.8,0.8,2,july,0.469310553,0.745121348,0.65,2011,PBO (2021)
Agaie,Oke-Ero,2028,Agaie,0.8,0.8,0.8,0.8,3,july,0.469310553,0.745121348,0.65,3106,PBO (2021)
Agatu,Keana,2020,Agatu,0.8,0.833333333,0.8,0.8,1,august,0.440507142,0.492360644,0.53,223,Pyrethroid (2020)
Agatu,Keana,2023,Agatu,0.8,0.833333333,0.8,0.8,2,august,0.440507142,0.492360644,0.53,1318,Pyrethroid (2020)
Agatu,Keana,2026,Agatu,0.8,0.833333333,0.8,0.8,3,august,0.440507142,0.492360644,0.53,2413,Pyrethroid (2020)
Agatu,Keana,2029,Agatu,0.8,0.833333333,0.8,0.8,4,august,0.440507142,0.492360644,0.53,3508,Pyrethroid (2020)
Agege,Uzo-Uwani,2020,Agege,0.8,0.8,0.8,0.8,1,june,0.445938468,0.743771706,0.65,162,PBO (2021)
Agege,Uzo-Uwani,2023,Agege,0.8,0.8,0.8,0.8,2,june,0.445938468,0.743771706,0.65,1257,PBO (2021)
Agege,Uzo-Uwani,2026,Agege,0.8,0.8,0.8,0.8,3,june,0.445938468,0.743771706,0.65,2352,PBO (2021)
Agege,Uzo-Uwani,2029,Agege,0.8,0.8,0.8,0.8,4,june,0.445938468,0.743771706,0.65,3447,PBO (2021)
Aguata,Oru West,2020,Aguata,0.8,0.8,0.8,0.8,1,june,0.454034567,0.744268911,0.65,162,PBO (2021)
Aguata,Oru West,2023,Aguata,0.8,0.8,0.8,0.8,2,june,0.454034567,0.744268911,0.65,1257,PBO (2021)
Aguata,Oru West,2026,Aguata,0.8,0.8,0.8,0.8,3,june,0.454034567,0.744268911,0.65,2352,PBO (2021)
Aguata,Oru West,2029,Aguata,0.8,0.8,0.8,0.8,4,june,0.454034567,0.744268911,0.65,3447,PBO (2021)
Agwara,Birnin Kebbi,2022,Agwara,0.8,0.8,0.8,0.8,1,august,0.513248554,0.747067471,0.670022422,953,PBO (2021)
Agwara,Birnin Kebbi,2025,Agwara,0.8,0.8,0.8,0.8,2,august,0.513248554,0.747067471,0.670022422,2048,PBO (2021)
Agwara,Birnin Kebbi,2028,Agwara,0.8,0.8,0.8,0.8,3,august,0.513248554,0.747067471,0.670022422,3143,PBO (2021)
Ahiazu-Mbaise,Ngor-Okpala,2020,Ahiazu-Mbaise,0.8,0.8,0.8,0.8,1,june,0.4502266,0.744039224,0.65,162,PBO (2021)
Ahiazu-Mbaise,Ngor-Okpala,2023,Ahiazu-Mbaise,0.8,0.8,0.8,0.8,2,june,0.4502266,0.744039224,0.65,1257,PBO (2021)
Ahiazu-Mbaise,Ngor-Okpala,2026,Ahiazu-Mbaise,0.8,0.8,0.8,0.8,3,june,0.4502266,0.744039224,0.65,2352,PBO (2021)
Ahiazu-Mbaise,Ngor-Okpala,2029,Ahiazu-Mbaise,0.8,0.8,0.8,0.8,4,june,0.4502266,0.744039224,0.65,3447,PBO (2021)
Ahoada East,Ahoada West,2020,Ahoada East,0.8,0.8,0.8,0.8,1,may,0.212067193,0.685335866,0.65,131,PBO (2021)
Ahoada East,Ahoada West,2023,Ahoada East,0.8,0.8,0.8,0.8,2,may,0.212067193,0.685335866,0.65,1226,PBO (2021)
Ahoada East,Ahoada West,2026,Ahoada East,0.8,0.8,0.8,0.8,3,may,0.212067193,0.685335866,0.65,2321,PBO (2021)
Ahoada East,Ahoada West,2029,Ahoada East,0.8,0.8,0.8,0.8,4,may,0.212067193,0.685335866,0.65,3416,PBO (2021)
Ahoada West,Ahoada West,2020,Ahoada West,0.8,0.8,0.8,0.8,1,may,0.212747654,0.685818488,0.65,131,PBO (2021)
Ahoada West,Ahoada West,2023,Ahoada West,0.8,0.8,0.8,0.8,2,may,0.212747654,0.685818488,0.65,1226,PBO (2021)
Ahoada West,Ahoada West,2026,Ahoada West,0.8,0.8,0.8,0.8,3,may,0.212747654,0.685818488,0.65,2321,PBO (2021)
Ahoada West,Ahoada West,2029,Ahoada West,0.8,0.8,0.8,0.8,4,may,0.212747654,0.685818488,0.65,3416,PBO (2021)
Aiyedade,Akinyele,2020,Aiyedade,0.8,0.8,0.8,0.8,1,may,0.401428384,0.740327343,0.65,131,PBO (2021)
Aiyedade,Akinyele,2023,Aiyedade,0.8,0.8,0.8,0.8,2,may,0.401428384,0.740327343,0.65,1226,PBO (2021)
Aiyedade,Akinyele,2026,Aiyedade,0.8,0.8,0.8,0.8,3,may,0.401428384,0.740327343,0.65,2321,PBO (2021)
Aiyedade,Akinyele,2029,Aiyedade,0.8,0.8,0.8,0.8,4,may,0.401428384,0.740327343,0.65,3416,PBO (2021)
Aiyedire,Akinyele,2020,Aiyedire,0.8,0.8,0.8,0.8,1,may,0.440828641,0.743440107,0.65,131,PBO (2021)
Aiyedire,Akinyele,2023,Aiyedire,0.8,0.8,0.8,0.8,2,may,0.440828641,0.743440107,0.65,1226,PBO (2021)
Aiyedire,Akinyele,2026,Aiyedire,0.8,0.8,0.8,0.8,3,may,0.440828641,0.743440107,0.65,2321,PBO (2021)
Aiyedire,Akinyele,2029,Aiyedire,0.8,0.8,0.8,0.8,4,may,0.440828641,0.743440107,0.65,3416,PBO (2021)
Ajaokuta,Owan East,2020,Ajaokuta,0.8,0.8,0.8,0.8,1,march,0.321205627,0.729055954,0.65,70,PBO (2021)
Ajaokuta,Owan East,2023,Ajaokuta,0.8,0.8,0.8,0.8,2,march,0.321205627,0.729055954,0.65,1165,PBO (2021)
Ajaokuta,Owan East,2026,Ajaokuta,0.8,0.8,0.8,0.8,3,march,0.321205627,0.729055954,0.65,2260,PBO (2021)
Ajaokuta,Owan East,2029,Ajaokuta,0.8,0.8,0.8,0.8,4,march,0.321205627,0.729055954,0.65,3355,PBO (2021)
Ajeromi-Ifelodun,Uzo-Uwani,2020,Ajeromi-Ifelodun,0.8,0.8,0.8,0.8,1,june,0.442448497,0.743546776,0.65,162,PBO (2021)
Ajeromi-Ifelodun,Uzo-Uwani,2023,Ajeromi-Ifelodun,0.8,0.8,0.8,0.8,2,june,0.442448497,0.743546776,0.65,1257,PBO (2021)
Ajeromi-Ifelodun,Uzo-Uwani,2026,Ajeromi-Ifelodun,0.8,0.8,0.8,0.8,3,june,0.442448497,0.743546776,0.65,2352,PBO (2021)
Ajeromi-Ifelodun,Uzo-Uwani,2029,Ajeromi-Ifelodun,0.8,0.8,0.8,0.8,4,june,0.442448497,0.743546776,0.65,3447,PBO (2021)
Ajingi,Taura,2022,Ajingi,0.838709677,0.8,0.8,0.980769231,1,july,0.772623248,0.751602855,0.91186478,916,PBO (2021)
Ajingi,Taura,2025,Ajingi,0.838709677,0.8,0.8,0.980769231,2,july,0.772623248,0.751602855,0.91186478,2011,PBO (2021)
Ajingi,Taura,2028,Ajingi,0.838709677,0.8,0.8,0.980769231,3,july,0.772623248,0.751602855,0.91186478,3106,PBO (2021)
Akamkpa,Ngor-Okpala,2021,Akamkpa,0.8,0.8,0.8,0.8,1,june,0.473355826,0.518082922,0.53,527,Pyrethroid (2020)
Akamkpa,Ngor-Okpala,2024,Akamkpa,0.8,0.8,0.8,0.8,2,june,0.473355826,0.518082922,0.53,1622,Pyrethroid (2020)
Akamkpa,Ngor-Okpala,2027,Akamkpa,0.8,0.8,0.8,0.8,3,june,0.473355826,0.518082922,0.53,2717,Pyrethroid (2020)
Akamkpa,Ngor-Okpala,2030,Akamkpa,0.8,0.8,0.8,0.8,4,june,0.473355826,0.518082922,0.53,3812,Pyrethroid (2020)
Akinyele,Akinyele,2020,Akinyele,0.8,0.8,0.8,0.8,1,may,0.353306712,0.9,0.94,131,IG2 & PBO (2020)
Akinyele,Akinyele,2023,Akinyele,0.8,0.8,0.8,0.8,2,may,0.353306712,0.9,0.94,1226,IG2 & PBO (2020)
Akinyele,Akinyele,2026,Akinyele,0.8,0.8,0.8,0.8,3,may,0.353306712,0.9,0.94,2321,IG2 & PBO (2020)
Akinyele,Akinyele,2029,Akinyele,0.8,0.8,0.8,0.8,4,may,0.353306712,0.9,0.94,3416,IG2 & PBO (2020)
Akko,Alkaleri,2021,Akko,0.8,0.8,0.8,0.8,1,july,0.430348191,0.742713325,0.65,551,PBO (2021)
Akko,Alkaleri,2024,Akko,0.8,0.8,0.8,0.8,2,july,0.430348191,0.742713325,0.65,1646,PBO (2021)
Akko,Alkaleri,2027,Akko,0.8,0.8,0.8,0.8,3,july,0.430348191,0.742713325,0.65,2741,PBO (2021)
Akko,Alkaleri,2030,Akko,0.8,0.8,0.8,0.8,4,july,0.430348191,0.742713325,0.65,3836,PBO (2021)
Akoko-Edo,Owan East,2020,Akoko-Edo,0.8,0.8,0.8,0.8,1,march,0.304845225,0.725405618,0.65,70,PBO (2021)
Akoko-Edo,Owan East,2023,Akoko-Edo,0.8,0.8,0.8,0.8,2,march,0.304845225,0.725405618,0.65,1165,PBO (2021)
Akoko-Edo,Owan East,2026,Akoko-Edo,0.8,0.8,0.8,0.8,3,march,0.304845225,0.725405618,0.65,2260,PBO (2021)
Akoko-Edo,Owan East,2029,Akoko-Edo,0.8,0.8,0.8,0.8,4,march,0.304845225,0.725405618,0.65,3355,PBO (2021)
Akoko North East,Oke-Ero,2020,Akoko North East,0.8,0.8,0.8,0.8,1,july,0.346553372,0.733614536,0.65,186,PBO (2021)
Akoko North East,Oke-Ero,2023,Akoko North East,0.8,0.8,0.8,0.8,2,july,0.346553372,0.733614536,0.65,1281,PBO (2021)
Akoko North East,Oke-Ero,2026,Akoko North East,0.8,0.8,0.8,0.8,3,july,0.346553372,0.733614536,0.65,2376,PBO (2021)
Akoko North East,Oke-Ero,2029,Akoko North East,0.8,0.8,0.8,0.8,4,july,0.346553372,0.733614536,0.65,3471,PBO (2021)
Akoko North West,Oke-Ero,2020,Akoko North West,0.8,0.8,0.8,0.8,1,july,0.316763911,0.728126692,0.65,186,PBO (2021)
Akoko North West,Oke-Ero,2023,Akoko North West,0.8,0.8,0.8,0.8,2,july,0.316763911,0.728126692,0.65,1281,PBO (2021)
Akoko North West,Oke-Ero,2026,Akoko North West,0.8,0.8,0.8,0.8,3,july,0.316763911,0.728126692,0.65,2376,PBO (2021)
Akoko North West,Oke-Ero,2029,Akoko North West,0.8,0.8,0.8,0.8,4,july,0.316763911,0.728126692,0.65,3471,PBO (2021)
Akoko South East,Oke-Ero,2020,Akoko South East,0.8,0.8,0.8,0.8,1,july,0.347034531,0.733690227,0.65,186,PBO (2021)
Akoko South East,Oke-Ero,2023,Akoko South East,0.8,0.8,0.8,0.8,2,july,0.347034531,0.733690227,0.65,1281,PBO (2021)
Akoko South East,Oke-Ero,2026,Akoko South East,0.8,0.8,0.8,0.8,3,july,0.347034531,0.733690227,0.65,2376,PBO (2021)
Akoko South East,Oke-Ero,2029,Akoko South East,0.8,0.8,0.8,0.8,4,july,0.347034531,0.733690227,0.65,3471,PBO (2021)
Akoko South West,Oke-Ero,2020,Akoko South West,0.8,0.8,0.8,0.8,1,july,0.330802879,0.73092257,0.65,186,PBO (2021)
Akoko South West,Oke-Ero,2023,Akoko South West,0.8,0.8,0.8,0.8,2,july,0.330802879,0.73092257,0.65,1281,PBO (2021)
Akoko South West,Oke-Ero,2026,Akoko South West,0.8,0.8,0.8,0.8,3,july,0.330802879,0.73092257,0.65,2376,PBO (2021)
Akoko South West,Oke-Ero,2029,Akoko South West,0.8,0.8,0.8,0.8,4,july,0.330802879,0.73092257,0.65,3471,PBO (2021)
Akpabuyo,Nsit Ubium,2021,Akpabuyo,0.8,0.8,0.8,0.8,1,june,0.417147714,0.473654536,0.53,527,Pyrethroid (2020)
Akpabuyo,Nsit Ubium,2024,Akpabuyo,0.8,0.8,0.8,0.8,2,june,0.417147714,0.473654536,0.53,1622,Pyrethroid (2020)
Akpabuyo,Nsit Ubium,2027,Akpabuyo,0.8,0.8,0.8,0.8,3,june,0.417147714,0.473654536,0.53,2717,Pyrethroid (2020)
Akpabuyo,Nsit Ubium,2030,Akpabuyo,0.8,0.8,0.8,0.8,4,june,0.417147714,0.473654536,0.53,3812,Pyrethroid (2020)
Akuku Toru,Ahoada West,2020,Akuku Toru,0.8,0.8,0.8,0.8,1,may,0.307675695,0.72608356,0.65,131,PBO (2021)
Akuku Toru,Ahoada West,2023,Akuku Toru,0.8,0.8,0.8,0.8,2,may,0.307675695,0.72608356,0.65,1226,PBO (2021)
Akuku Toru,Ahoada West,2026,Akuku Toru,0.8,0.8,0.8,0.8,3,may,0.307675695,0.72608356,0.65,2321,PBO (2021)
Akuku Toru,Ahoada West,2029,Akuku Toru,0.8,0.8,0.8,0.8,4,may,0.307675695,0.72608356,0.65,3416,PBO (2021)
Akure North,Owan East,2020,Akure North,0.8,0.8,0.8,0.8,1,march,0.337034585,0.732039367,0.65,70,PBO (2021)
Akure North,Owan East,2023,Akure North,0.8,0.8,0.8,0.8,2,march,0.337034585,0.732039367,0.65,1165,PBO (2021)
Akure North,Owan East,2026,Akure North,0.8,0.8,0.8,0.8,3,march,0.337034585,0.732039367,0.65,2260,PBO (2021)
Akure North,Owan East,2029,Akure North,0.8,0.8,0.8,0.8,4,march,0.337034585,0.732039367,0.65,3355,PBO (2021)
Akure South,Owan East,2020,Akure South,0.8,0.8,0.8,0.8,1,march,0.299585483,0.724089439,0.65,70,PBO (2021)
Akure South,Owan East,2023,Akure South,0.8,0.8,0.8,0.8,2,march,0.299585483,0.724089439,0.65,1165,PBO (2021)
Akure South,Owan East,2026,Akure South,0.8,0.8,0.8,0.8,3,march,0.299585483,0.724089439,0.65,2260,PBO (2021)
Akure South,Owan East,2029,Akure South,0.8,0.8,0.8,0.8,4,march,0.299585483,0.724089439,0.65,3355,PBO (2021)
Akwanga,Oke-Ero,2021,Akwanga,0.822883221,0.800838317,0.8,0.8,1,july,0.509076895,0.746909746,0.662920161,551,PBO (2021)
Akwanga,Oke-Ero,2024,Akwanga,0.822883221,0.800838317,0.8,0.8,2,july,0.509076895,0.746909746,0.662920161,1646,PBO (2021)
Akwanga,Oke-Ero,2027,Akwanga,0.822883221,0.800838317,0.8,0.8,3,july,0.509076895,0.746909746,0.662920161,2741,PBO (2021)
Akwanga,Oke-Ero,2030,Akwanga,0.822883221,0.800838317,0.8,0.8,4,july,0.509076895,0.746909746,0.662920161,3836,PBO (2021)
Albasu,Takali,2022,Albasu,0.8,0.8,0.8,0.806451613,1,september,0.794967768,0.751755177,0.921115182,980,PBO (2021)
Albasu,Takali,2025,Albasu,0.8,0.8,0.8,0.806451613,2,september,0.794967768,0.751755177,0.921115182,2075,PBO (2021)
Albasu,Takali,2028,Albasu,0.8,0.8,0.8,0.806451613,3,september,0.794967768,0.751755177,0.921115182,3170,PBO (2021)
Aleiro,Birnin Kebbi,2021,Aleiro,0.8,0.8,0.8,0.8,1,august,0.705366928,0.75101499,0.876504706,588,PBO (2021)
Aleiro,Birnin Kebbi,2024,Aleiro,0.8,0.8,0.8,0.8,2,august,0.705366928,0.75101499,0.876504706,1683,PBO (2021)
Aleiro,Birnin Kebbi,2027,Aleiro,0.8,0.8,0.8,0.8,3,august,0.705366928,0.75101499,0.876504706,2778,PBO (2021)
Aleiro,Birnin Kebbi,2030,Aleiro,0.8,0.8,0.8,0.8,4,august,0.705366928,0.75101499,0.876504706,3873,PBO (2021)
Alimosho,Uzo-Uwani,2020,Alimosho,0.8,0.8,0.8,0.8,1,june,0.431973509,0.742830344,0.65,162,PBO (2021)
Alimosho,Uzo-Uwani,2023,Alimosho,0.8,0.8,0.8,0.8,2,june,0.431973509,0.742830344,0.65,1257,PBO (2021)
Alimosho,Uzo-Uwani,2026,Alimosho,0.8,0.8,0.8,0.8,3,june,0.431973509,0.742830344,0.65,2352,PBO (2021)
Alimosho,Uzo-Uwani,2029,Alimosho,0.8,0.8,0.8,0.8,4,june,0.431973509,0.742830344,0.65,3447,PBO (2021)
Alkaleri,Alkaleri,2021,Alkaleri,0.8,0.8,0.8,0.8,1,july,0.570092852,0.588317246,0.672462749,551,Pyrethroid (2020)
Alkaleri,Alkaleri,2024,Alkaleri,0.8,0.8,0.8,0.8,2,july,0.570092852,0.588317246,0.672462749,1646,Pyrethroid (2020)
Alkaleri,Alkaleri,2027,Alkaleri,0.8,0.8,0.8,0.8,3,july,0.570092852,0.588317246,0.672462749,2741,Pyrethroid (2020)
Alkaleri,Alkaleri,2030,Alkaleri,0.8,0.8,0.8,0.8,4,july,0.570092852,0.588317246,0.672462749,3836,Pyrethroid (2020)
Amuwo-Odofin,Isoko South,2020,Amuwo-Odofin,0.8,0.8,0.8,0.8,1,june,0.414522642,0.741483364,0.65,162,PBO (2021)
