,adm1,LGA,smc_plan1,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
1,Borno,Abadam,SMC,Babura,may,131,2020,1,-1,1,0.6,5
2,Borno,Abadam,SMC,Babura,may,161,2020,2,-1,1,0.6,5
3,Borno,Abadam,SMC,Babura,may,191,2020,3,-1,1,0.6,5
4,Borno,Abadam,SMC,Babura,may,221,2020,4,-1,1,0.6,5
5,Borno,Askira-Uba,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
6,Borno,Askira-Uba,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
7,Borno,Askira-Uba,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
8,Borno,Askira-Uba,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
9,Borno,Bama,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
10,Borno,Bama,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
11,Borno,Bama,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
12,Borno,Bama,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
13,Borno,Bayo,SMC,Alkaleri,july,186,2020,1,-1,1,0.6,5
14,Borno,Bayo,SMC,Alkaleri,july,216,2020,2,-1,1,0.6,5
15,Borno,Bayo,SMC,Alkaleri,july,246,2020,3,-1,1,0.6,5
16,Borno,Bayo,SMC,Alkaleri,july,276,2020,4,-1,1,0.6,5
17,Borno,Biu,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
18,Borno,Biu,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
19,Borno,Biu,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
20,Borno,Biu,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
21,Borno,Chibok,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
22,Borno,Chibok,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
23,Borno,Chibok,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
24,Borno,Chibok,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
25,Borno,Damboa,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
26,Borno,Damboa,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
27,Borno,Damboa,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
28,Borno,Damboa,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
29,Borno,Dikwa,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
30,Borno,Dikwa,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
31,Borno,Dikwa,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
32,Borno,Dikwa,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
33,Borno,Gubio,SMC,Gawabawa,august,223,2020,1,-1,1,0.6,5
34,Borno,Gubio,SMC,Gawabawa,august,253,2020,2,-1,1,0.6,5
35,Borno,Gubio,SMC,Gawabawa,august,283,2020,3,-1,1,0.6,5
36,Borno,Gubio,SMC,Gawabawa,august,313,2020,4,-1,1,0.6,5
37,Borno,Guzamala,SMC,Babura,may,131,2020,1,-1,1,0.6,5
38,Borno,Guzamala,SMC,Babura,may,161,2020,2,-1,1,0.6,5
39,Borno,Guzamala,SMC,Babura,may,191,2020,3,-1,1,0.6,5
40,Borno,Guzamala,SMC,Babura,may,221,2020,4,-1,1,0.6,5
41,Borno,Gwoza,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
42,Borno,Gwoza,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
43,Borno,Gwoza,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
44,Borno,Gwoza,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
45,Borno,Hawul,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
46,Borno,Hawul,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
47,Borno,Hawul,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
48,Borno,Hawul,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
49,Borno,Jere,SMC,Gawabawa,august,223,2020,1,-1,1,0.6,5
50,Borno,Jere,SMC,Gawabawa,august,253,2020,2,-1,1,0.6,5
51,Borno,Jere,SMC,Gawabawa,august,283,2020,3,-1,1,0.6,5
52,Borno,Jere,SMC,Gawabawa,august,313,2020,4,-1,1,0.6,5
53,Borno,Kaga,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
54,Borno,Kaga,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
55,Borno,Kaga,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
56,Borno,Kaga,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
57,Borno,Kala-Balge,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
58,Borno,Kala-Balge,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
59,Borno,Kala-Balge,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
