,adm1,LGA,smc_plan1,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
1,Adamawa,Demsa,SMC,Alkaleri,july,186,2020,1,-1,1,0.6,5
2,Adamawa,Demsa,SMC,Alkaleri,july,216,2020,2,-1,1,0.6,5
3,Adamawa,Demsa,SMC,Alkaleri,july,246,2020,3,-1,1,0.6,5
4,Adamawa,Demsa,SMC,Alkaleri,july,276,2020,4,-1,1,0.6,5
5,Adamawa,Fufore,SMC,Alkaleri,july,186,2020,1,-1,1,0.6,5
6,Adamawa,Fufore,SMC,Alkaleri,july,216,2020,2,-1,1,0.6,5
7,Adamawa,Fufore,SMC,Alkaleri,july,246,2020,3,-1,1,0.6,5
8,Adamawa,Fufore,SMC,Alkaleri,july,276,2020,4,-1,1,0.6,5
9,Adamawa,Gireri,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
10,Adamawa,Gireri,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
11,Adamawa,Gireri,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
12,Adamawa,Gireri,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
13,Adamawa,Gombi,SMC,Alkaleri,july,186,2020,1,-1,1,0.6,5
14,Adamawa,Gombi,SMC,Alkaleri,july,216,2020,2,-1,1,0.6,5
15,Adamawa,Gombi,SMC,Alkaleri,july,246,2020,3,-1,1,0.6,5
16,Adamawa,Gombi,SMC,Alkaleri,july,276,2020,4,-1,1,0.6,5
17,Adamawa,Guyuk,SMC,Alkaleri,july,186,2020,1,-1,1,0.6,5
18,Adamawa,Guyuk,SMC,Alkaleri,july,216,2020,2,-1,1,0.6,5
19,Adamawa,Guyuk,SMC,Alkaleri,july,246,2020,3,-1,1,0.6,5
20,Adamawa,Guyuk,SMC,Alkaleri,july,276,2020,4,-1,1,0.6,5
21,Adamawa,Hong,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
22,Adamawa,Hong,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
23,Adamawa,Hong,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
24,Adamawa,Hong,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
25,Adamawa,Jada,SMC,Alkaleri,july,186,2020,1,-1,1,0.6,5
26,Adamawa,Jada,SMC,Alkaleri,july,216,2020,2,-1,1,0.6,5
27,Adamawa,Jada,SMC,Alkaleri,july,246,2020,3,-1,1,0.6,5
28,Adamawa,Jada,SMC,Alkaleri,july,276,2020,4,-1,1,0.6,5
29,Adamawa,Lamurde,SMC,Alkaleri,july,186,2020,1,-1,1,0.6,5
30,Adamawa,Lamurde,SMC,Alkaleri,july,216,2020,2,-1,1,0.6,5
31,Adamawa,Lamurde,SMC,Alkaleri,july,246,2020,3,-1,1,0.6,5
32,Adamawa,Lamurde,SMC,Alkaleri,july,276,2020,4,-1,1,0.6,5
33,Adamawa,Madagali,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
34,Adamawa,Madagali,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
35,Adamawa,Madagali,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
36,Adamawa,Madagali,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
37,Adamawa,Maiha,SMC,Alkaleri,july,186,2020,1,-1,1,0.6,5
38,Adamawa,Maiha,SMC,Alkaleri,july,216,2020,2,-1,1,0.6,5
39,Adamawa,Maiha,SMC,Alkaleri,july,246,2020,3,-1,1,0.6,5
40,Adamawa,Maiha,SMC,Alkaleri,july,276,2020,4,-1,1,0.6,5
41,Adamawa,Mayo-Belwa,SMC,Alkaleri,july,186,2020,1,-1,1,0.6,5
42,Adamawa,Mayo-Belwa,SMC,Alkaleri,july,216,2020,2,-1,1,0.6,5
43,Adamawa,Mayo-Belwa,SMC,Alkaleri,july,246,2020,3,-1,1,0.6,5
44,Adamawa,Mayo-Belwa,SMC,Alkaleri,july,276,2020,4,-1,1,0.6,5
45,Adamawa,Michika,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
46,Adamawa,Michika,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
47,Adamawa,Michika,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
48,Adamawa,Michika,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
49,Adamawa,Mubi North,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
50,Adamawa,Mubi North,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
51,Adamawa,Mubi North,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
52,Adamawa,Mubi North,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
53,Adamawa,Mubi South,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
54,Adamawa,Mubi South,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
55,Adamawa,Mubi South,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
56,Adamawa,Mubi South,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
57,Adamawa,Numan,SMC,Alkaleri,july,186,2020,1,-1,1,0.6,5
58,Adamawa,Numan,SMC,Alkaleri,july,216,2020,2,-1,1,0.6,5
59,Adamawa,Numan,SMC,Alkaleri,july,246,2020,3,-1,1,0.6,5
60,Adamawa,Numan,SMC,Alkaleri,july,276,2020,4,-1,1,0.6,5
61,Adamawa,Shelleng,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
62,Adamawa,Shelleng,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
63,Adamawa,Shelleng,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
64,Adamawa,Shelleng,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
65,Adamawa,Song,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
66,Adamawa,Song,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
67,Adamawa,Song,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
68,Adamawa,Song,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
69,Adamawa,Yola North,SMC,Alkaleri,july,186,2020,1,-1,1,0.6,5
70,Adamawa,Yola North,SMC,Alkaleri,july,216,2020,2,-1,1,0.6,5
71,Adamawa,Yola North,SMC,Alkaleri,july,246,2020,3,-1,1,0.6,5
72,Adamawa,Yola North,SMC,Alkaleri,july,276,2020,4,-1,1,0.6,5
73,Adamawa,Yola South,SMC,Alkaleri,july,186,2020,1,-1,1,0.6,5
74,Adamawa,Yola South,SMC,Alkaleri,july,216,2020,2,-1,1,0.6,5
75,Adamawa,Yola South,SMC,Alkaleri,july,246,2020,3,-1,1,0.6,5
76,Adamawa,Yola South,SMC,Alkaleri,july,276,2020,4,-1,1,0.6,5
77,Borno,Abadam,SMC,Babura,may,131,2020,1,-1,1,0.6,5
78,Borno,Abadam,SMC,Babura,may,161,2020,2,-1,1,0.6,5
79,Borno,Abadam,SMC,Babura,may,191,2020,3,-1,1,0.6,5
80,Borno,Abadam,SMC,Babura,may,221,2020,4,-1,1,0.6,5
81,Borno,Askira-Uba,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
82,Borno,Askira-Uba,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
83,Borno,Askira-Uba,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
84,Borno,Askira-Uba,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
85,Borno,Bama,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
86,Borno,Bama,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
87,Borno,Bama,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
88,Borno,Bama,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
89,Borno,Bayo,SMC,Alkaleri,july,186,2020,1,-1,1,0.6,5
